2000 2000
39 279 1
39 364 1
39 694 1
39 928 1
39 1173 1
42 42 2
42 153 1
42 237 1
42 463 1
42 886 1
42 925 1
42 938 1
42 1238 1
42 1366 1
42 1683 1
42 1907 1
43 43 3
43 151 1
43 161 1
43 327 1
43 401 1
43 464 1
43 507 1
43 639 1
43 651 1
43 668 1
43 690 1
43 691 1
43 700 1
43 704 1
43 740 1
43 750 1
43 785 1
43 801 1
43 805 1
43 831 1
43 852 1
43 1032 1
43 1083 1
43 1135 1
43 1162 1
43 1172 1
43 1238 1
43 1239 1
43 1286 1
43 1311 1
43 1480 1
43 1494 1
43 1529 1
43 1563 1
43 1578 1
43 1657 1
43 1724 1
43 1726 1
43 1866 1
43 1944 1
43 1966 1
43 1997 1
44 44 1
44 896 1
45 45 1
46 46 1
47 47 1
47 180 1
47 229 1
47 282 1
47 416 1
47 461 1
47 810 1
47 847 1
47 1033 1
47 1121 1
47 1136 1
47 1148 1
47 1349 1
47 1400 1
47 1502 1
47 1508 1
47 1719 1
47 1742 1
47 1757 1
48 8 1
48 48 1
48 55 1
48 90 1
48 755 1
48 1032 1
48 1390 1
48 1435 1
52 8 1
52 52 3
52 56 1
52 92 1
52 121 1
52 173 1
52 197 1
52 260 1
52 281 1
52 410 1
52 496 1
52 533 1
52 595 1
52 696 1
52 697 1
52 719 1
52 797 1
52 810 1
52 1423 1
52 1449 1
52 1510 1
52 1595 1
52 1611 1
55 8 1
55 48 1
55 55 2
55 90 1
55 134 1
55 181 1
55 191 1
55 256 1
55 309 1
55 320 1
55 507 1
55 521 1
55 563 1
55 631 1
55 755 1
55 950 1
55 1032 2
55 1080 1
55 1130 1
55 1185 1
55 1186 1
55 1214 1
55 1384 1
55 1390 1
55 1435 1
55 1510 1
56 52 1
56 56 2
56 80 1
56 99 1
56 113 1
56 165 1
56 197 1
56 260 1
56 281 1
56 410 1
56 496 1
56 533 1
56 550 1
56 579 1
56 595 1
56 636 1
56 651 1
56 673 1
56 696 1
56 697 1
56 712 1
56 1046 1
56 1268 1
56 1298 1
56 1388 1
56 1389 1
56 1423 1
56 1449 1
56 1451 1
56 1452 1
56 1455 1
56 1510 1
56 1530 1
56 1549 1
56 1559 1
56 1584 1
56 1595 1
56 1611 1
56 1664 1
56 1735 1
56 1801 1
56 1848 1
56 1921 1
57 57 1
57 784 1
57 1065 1
57 1335 1
60 60 4
60 1134 1
60 1646 1
61 61 1
61 248 1
61 266 1
61 374 1
61 820 1
61 1100 1
61 1117 1
61 1142 1
61 1149 1
61 1273 1
61 1354 1
61 1397 1
61 1485 1
61 1679 1
61 1751 1
61 1809 1
61 1822 1
63 38 1
63 63 1
63 65 1
63 102 1
63 179 1
63 213 1
63 303 1
63 348 1
63 395 1
63 407 1
63 431 1
63 436 1
63 519 1
63 657 1
63 811 1
63 822 1
63 827 1
63 844 1
63 856 1
63 865 1
63 891 1
63 928 1
63 933 1
63 990 1
63 995 1
63 1040 1
63 1118 1
63 1190 1
63 1192 1
63 1223 1
63 1252 1
63 1331 1
63 1361 1
63 1439 1
63 1441 1
63 1659 1
63 1677 1
63 1757 1
63 1783 1
63 1903 1
63 1972 1
64 64 1
65 38 1
65 63 1
65 65 1
65 102 1
65 179 1
65 213 1
65 303 1
65 348 1
65 395 1
65 407 1
65 431 1
65 436 1
65 519 1
65 657 1
65 811 1
65 822 1
65 827 1
65 844 1
65 856 1
65 865 1
65 891 1
65 928 1
65 933 1
65 990 1
65 995 1
65 1040 1
65 1118 1
65 1190 1
65 1192 1
65 1223 1
65 1252 1
65 1331 1
65 1361 1
65 1439 1
65 1441 1
65 1659 1
65 1677 1
65 1757 1
65 1783 1
65 1903 1
65 1972 1
66 66 1
66 92 1
66 408 1
66 473 1
66 504 1
66 811 1
66 1004 1
66 1213 1
66 1215 1
66 1273 1
66 1277 1
66 1337 1
66 1729 1
67 67 2
67 75 1
67 108 1
67 131 1
67 165 1
67 179 1
67 193 1
67 194 1
67 205 1
67 266 1
67 269 1
67 279 1
67 296 1
67 301 1
67 340 1
67 391 1
67 412 1
67 420 1
67 439 1
67 441 1
67 488 1
67 618 1
67 757 1
67 785 1
67 786 1
67 828 1
67 839 1
67 877 1
67 890 1
67 893 1
67 920 1
67 930 1
67 989 1
67 991 1
67 1034 1
67 1051 1
67 1058 1
67 1080 1
67 1088 1
67 1104 1
67 1181 1
67 1185 1
67 1192 1
67 1255 1
67 1265 1
67 1335 1
67 1342 1
67 1390 1
67 1399 1
67 1438 1
67 1473 1
67 1480 1
67 1504 1
67 1571 1
67 1621 1
67 1643 1
67 1659 1
67 1713 1
67 1750 1
67 1819 1
67 1850 1
67 1918 1
67 1930 1
67 1971 1
72 72 2
72 87 1
72 1976 1
73 27 1
73 73 1
73 165 1
73 239 1
73 375 1
73 421 1
73 596 1
73 609 1
73 781 1
73 1006 1
73 1151 1
73 1508 1
73 1994 1
75 67 1
75 75 2
75 108 1
75 131 1
75 172 1
75 179 1
75 193 1
75 194 1
75 205 1
75 231 1
75 260 1
75 266 1
75 269 1
75 279 1
75 296 1
75 301 1
75 340 1
75 412 1
75 420 1
75 439 1
75 441 1
75 531 1
75 585 1
75 593 1
75 618 1
75 694 1
75 757 1
75 785 1
75 828 1
75 877 1
75 890 1
75 893 1
75 905 1
75 920 1
75 930 1
75 989 1
75 991 1
75 1034 1
75 1051 1
75 1058 1
75 1080 1
75 1088 1
75 1104 1
75 1181 1
75 1185 1
75 1189 1
75 1192 1
75 1265 1
75 1304 1
75 1329 1
75 1335 1
75 1342 1
75 1390 1
75 1393 1
75 1399 1
75 1428 1
75 1448 1
75 1473 1
75 1480 1
75 1504 1
75 1571 1
75 1621 1
75 1659 1
75 1666 1
75 1713 1
75 1729 1
75 1735 1
75 1750 1
75 1819 1
75 1833 1
75 1850 1
75 1860 1
75 1872 1
75 1918 1
75 1928 1
75 1930 1
75 1971 1
78 78 1
78 111 1
78 118 1
78 307 1
78 578 1
78 658 1
78 759 1
78 794 1
78 816 1
78 853 1
78 927 1
78 971 1
78 1498 1
78 1730 1
78 1800 1
78 1820 1
79 79 3
79 106 1
79 584 1
79 669 1
79 947 1
79 1267 1
79 1478 1
79 1647 1
80 56 1
80 80 1
80 99 1
80 113 1
80 165 1
80 550 1
80 579 1
80 636 1
80 651 1
80 673 1
80 712 1
80 1046 1
80 1268 1
80 1298 1
80 1388 1
80 1389 1
80 1451 1
80 1452 1
80 1455 1
80 1530 1
80 1549 1
80 1559 1
80 1584 1
80 1664 1
80 1735 1
80 1801 1
80 1848 1
80 1921 1
83 83 2
83 141 1
83 173 1
83 247 1
83 260 1
83 405 1
83 430 1
83 491 1
83 591 1
83 689 1
83 720 1
83 852 1
83 963 1
83 1064 1
83 1134 1
83 1167 1
83 1182 1
83 1225 1
83 1233 1
83 1268 1
83 1313 1
83 1341 1
83 1428 1
83 1583 1
83 1600 1
83 1721 1
83 1809 1
83 1839 1
83 1899 1
83 1997 1
84 84 1
84 867 1
85 85 2
85 132 1
85 301 1
85 456 1
85 471 1
85 589 1
85 735 1
85 1216 1
85 1390 1
85 1396 1
85 1397 1
85 1472 1
87 72 1
87 87 2
87 165 1
87 167 1
87 1179 1
87 1677 1
87 1974 1
87 1976 1
90 8 1
90 48 1
90 55 1
90 90 1
90 755 1
90 1032 1
90 1390 1
90 1435 1
91 91 1
92 8 1
92 52 1
92 66 1
92 92 2
92 121 1
92 173 1
92 408 1
92 473 1
92 504 1
92 719 1
92 797 1
92 810 1
92 811 1
92 1004 1
92 1213 1
92 1215 1
92 1273 1
92 1277 1
92 1337 1
92 1729 1
94 94 1
94 236 1
94 291 1
94 316 1
94 327 1
94 383 1
94 431 1
94 450 1
94 547 1
94 620 1
94 654 1
94 720 1
94 735 1
94 746 1
94 770 1
94 812 1
94 830 1
94 903 1
94 1007 1
94 1015 1
94 1119 1
94 1134 1
94 1157 1
94 1238 1
94 1440 1
94 1542 1
94 1557 1
94 1595 1
94 1634 1
94 1650 1
94 1695 1
94 1716 1
94 1729 1
94 1739 1
94 1773 1
94 1811 1
94 1855 1
97 97 2
97 152 1
97 225 1
97 304 1
97 1332 1
97 1558 1
97 1564 1
97 1696 1
97 1872 1
97 1891 1
98 17 1
98 20 1
98 29 1
98 98 1
98 182 1
98 256 1
98 525 1
98 578 1
98 589 1
98 697 1
98 781 1
98 809 1
98 959 1
98 1027 1
98 1038 1
98 1249 1
98 1389 1
98 1441 1
98 1474 1
98 1511 1
98 1830 1
98 1848 1
99 56 1
99 80 1
99 99 1
99 113 1
99 165 1
99 550 1
99 579 1
99 636 1
99 651 1
99 673 1
99 712 1
99 1046 1
99 1268 1
99 1298 1
99 1388 1
99 1389 1
99 1451 1
99 1452 1
99 1455 1
99 1530 1
99 1549 1
99 1559 1
99 1584 1
99 1664 1
99 1735 1
99 1801 1
99 1848 1
99 1921 1
102 38 1
102 63 1
102 65 1
102 102 3
102 179 1
102 213 1
102 256 1
102 303 1
102 348 1
102 395 1
102 407 1
102 431 1
102 436 1
102 519 1
102 657 1
102 811 1
102 822 1
102 827 1
102 844 1
102 856 1
102 865 1
102 891 1
102 928 1
102 933 1
102 990 1
102 995 1
102 1040 1
102 1046 1
102 1118 1
102 1190 1
102 1192 1
102 1223 1
102 1252 1
102 1331 1
102 1361 1
102 1439 1
102 1441 2
102 1511 1
102 1659 1
102 1677 1
102 1753 1
102 1757 1
102 1783 1
102 1792 1
102 1903 1
102 1929 1
102 1972 1
103 103 1
103 1738 1
106 14 1
106 79 1
106 106 2
106 267 1
106 584 1
106 748 1
106 855 1
106 1113 1
106 1267 1
106 1478 1
106 1647 1
107 107 1
107 219 1
107 752 1
107 1376 1
107 1831 1
107 1993 1
108 67 1
108 75 1
108 108 1
108 131 1
108 179 1
108 193 1
108 194 1
108 205 1
108 266 1
108 269 1
108 279 1
108 296 1
108 301 1
108 340 1
108 412 1
108 420 1
108 439 1
108 441 1
108 618 1
108 757 1
108 785 1
108 828 1
108 877 1
108 890 1
108 893 1
108 920 1
108 930 1
108 989 1
108 991 1
108 1034 1
108 1051 1
108 1058 1
108 1080 1
108 1088 1
108 1104 1
108 1181 1
108 1185 1
108 1192 1
108 1265 1
108 1335 1
108 1342 1
108 1390 1
108 1399 1
108 1473 1
108 1480 1
108 1504 1
108 1571 1
108 1621 1
108 1659 1
108 1713 1
108 1750 1
108 1819 1
108 1850 1
108 1918 1
108 1930 1
108 1971 1
109 109 1
109 459 1
109 594 1
109 1102 1
109 1217 1
109 1961 1
110 110 1
110 863 1
111 0 1
111 78 1
111 111 2
111 118 1
111 214 1
111 307 1
111 578 1
111 579 1
111 620 1
111 658 1
111 759 1
111 779 1
111 794 1
111 816 1
111 853 1
111 927 1
111 971 1
111 1154 1
111 1384 1
111 1498 1
111 1640 1
111 1657 1
111 1730 1
111 1734 1
111 1800 1
111 1808 1
111 1820 1
113 56 1
113 80 1
113 99 1
113 113 2
113 165 1
113 289 1
113 382 1
113 550 1
113 579 1
113 592 1
113 636 1
113 651 1
113 673 1
113 710 1
113 712 1
113 1046 1
113 1074 1
113 1189 1
113 1268 1
113 1298 1
113 1388 1
113 1389 1
113 1432 1
113 1451 1
113 1452 1
113 1455 1
113 1530 1
113 1549 1
113 1559 1
113 1584 1
113 1591 1
113 1664 1
113 1695 1
113 1735 1
113 1801 1
113 1809 1
113 1848 1
113 1921 1
113 1967 1
116 116 1
118 8 1
118 78 1
118 111 1
118 118 2
118 192 1
118 307 1
118 536 1
118 577 1
118 578 1
118 658 1
118 759 1
118 794 1
118 816 1
118 853 1
118 876 1
118 927 1
118 971 1
118 1074 1
118 1316 1
118 1465 1
118 1498 1
118 1722 1
118 1730 1
118 1800 1
118 1820 1
118 1883 1
118 1990 1
120 120 1
120 343 1
120 421 1
120 565 1
120 817 1
121 8 1
121 52 1
121 92 1
121 121 1
121 173 1
121 719 1
121 797 1
121 810 1
124 124 2
124 171 1
124 410 1
124 419 1
124 622 1
124 828 1
124 1179 1
124 1457 1
124 1522 1
124 1753 1
124 1822 1
124 1929 1
127 127 1
127 1666 1
127 1692 1
127 1925 1
130 130 1
130 172 1
130 497 1
130 950 1
130 1007 1
130 1104 1
130 1142 1
130 1236 1
130 1308 1
130 1316 1
130 1479 1
131 67 1
131 75 1
131 108 1
131 131 2
131 179 1
131 193 1
131 194 1
131 205 1
131 266 1
131 269 1
131 279 1
131 282 1
131 296 1
131 301 1
131 340 1
131 412 1
131 420 1
131 439 1
131 441 1
131 618 1
131 757 1
131 785 1
131 828 1
131 877 1
131 881 1
131 890 1
131 893 1
131 920 1
131 930 1
131 989 1
131 991 1
131 1034 1
131 1051 1
131 1058 1
131 1080 1
131 1088 1
131 1104 1
131 1181 1
131 1185 1
131 1192 1
131 1265 1
131 1335 1
131 1342 1
131 1390 1
131 1399 1
131 1473 1
131 1480 1
131 1504 1
131 1571 1
131 1621 1
131 1659 1
131 1713 1
131 1750 1
131 1819 1
131 1836 1
131 1850 1
131 1918 1
131 1930 1
131 1971 1
131 1992 1
132 21 1
132 85 1
132 132 3
132 212 1
132 301 1
132 303 1
132 319 1
132 340 1
132 456 1
132 471 1
132 565 1
132 589 1
132 735 1
132 801 1
132 957 1
132 960 1
132 1051 1
132 1091 1
132 1126 1
132 1216 1
132 1218 1
132 1309 1
132 1390 1
132 1396 1
132 1397 1
132 1472 1
132 1531 1
132 1596 1
132 1726 1
132 1944 1
134 55 1
134 134 1
134 181 1
134 191 1
134 256 1
134 309 1
134 320 1
134 507 1
134 521 1
134 563 1
134 631 1
134 950 1
134 1032 1
134 1080 1
134 1130 1
134 1185 1
134 1186 1
134 1214 1
134 1384 1
134 1510 1
135 135 1
140 140 2
140 742 1
140 793 1
140 857 1
140 1586 1
141 83 1
141 141 2
141 173 1
141 405 1
141 528 1
141 568 1
141 591 1
141 720 1
141 852 1
141 963 1
141 1064 1
141 1182 1
141 1225 1
141 1268 1
141 1428 1
141 1839 1
141 1899 1
143 143 1
143 148 1
143 846 1
148 143 1
148 148 2
148 182 1
148 458 1
148 846 1
148 1536 1
151 43 1
151 151 1
151 161 1
151 327 1
151 464 1
151 651 1
151 668 1
151 691 1
151 700 1
151 740 1
151 750 1
151 805 1
151 831 1
151 1172 1
151 1238 1
151 1239 1
151 1311 1
151 1480 1
151 1494 1
151 1529 1
151 1657 1
151 1726 1
151 1944 1
151 1966 1
151 1997 1
152 97 1
152 152 1
152 225 1
152 304 1
152 1332 1
152 1558 1
152 1564 1
152 1872 1
152 1891 1
153 42 1
153 153 1
153 237 1
153 886 1
153 938 1
153 1238 1
153 1366 1
153 1683 1
153 1907 1
154 154 1
154 801 1
156 156 2
156 389 1
156 849 1
156 1609 1
156 1717 1
159 159 3
159 246 1
159 276 1
159 358 1
159 416 1
159 428 1
159 481 1
159 526 1
159 609 1
159 915 1
159 978 1
159 989 1
159 1401 1
161 43 1
161 151 1
161 161 1
161 327 1
161 464 1
161 651 1
161 668 1
161 691 1
161 700 1
161 740 1
161 750 1
161 805 1
161 831 1
161 1172 1
161 1238 1
161 1239 1
161 1311 1
161 1480 1
161 1494 1
161 1529 1
161 1657 1
161 1726 1
161 1944 1
161 1966 1
161 1997 1
162 162 1
163 163 4
163 730 1
163 1366 1
163 1374 1
163 1445 1
163 1466 1
163 1706 1
165 27 1
165 56 1
165 67 1
165 73 1
165 80 1
165 87 1
165 99 1
165 113 1
165 165 6
165 167 1
165 239 1
165 375 1
165 391 1
165 421 1
165 488 1
165 550 1
165 579 1
165 596 1
165 609 1
165 636 1
165 640 1
165 651 1
165 673 1
165 712 1
165 781 1
165 786 1
165 839 1
165 1006 1
165 1046 1
165 1151 1
165 1179 1
165 1255 1
165 1268 1
165 1298 1
165 1388 1
165 1389 1
165 1438 1
165 1451 1
165 1452 1
165 1455 1
165 1508 1
165 1530 1
165 1549 1
165 1559 1
165 1584 1
165 1643 1
165 1664 1
165 1677 1
165 1735 1
165 1749 1
165 1801 1
165 1848 1
165 1921 1
165 1974 1
165 1994 1
167 87 1
167 165 1
167 167 3
167 225 1
167 331 1
167 559 1
167 1179 1
167 1239 1
167 1677 1
167 1716 1
167 1974 1
169 169 1
169 417 1
169 630 1
169 797 1
169 892 1
169 1153 1
169 1441 1
169 1535 1
169 1883 1
169 1977 1
171 124 1
171 171 1
171 410 1
171 419 1
171 622 1
171 828 1
171 1457 1
171 1522 1
171 1753 1
171 1929 1
172 75 1
172 130 1
172 172 2
172 231 1
172 260 1
172 497 1
172 531 1
172 585 1
172 593 1
172 694 1
172 905 1
172 950 1
172 1007 1
172 1104 1
172 1142 1
172 1189 1
172 1236 1
172 1304 1
172 1308 1
172 1316 1
172 1329 1
172 1393 1
172 1428 1
172 1448 1
172 1479 1
172 1666 1
172 1729 1
172 1735 1
172 1833 1
172 1860 1
172 1872 1
172 1928 1
173 8 1
173 52 1
173 83 1
173 92 1
173 121 1
173 141 1
173 173 2
173 405 1
173 591 1
173 719 1
173 720 1
173 797 1
173 810 1
173 852 1
173 963 1
173 1064 1
173 1182 1
173 1225 1
173 1268 1
173 1428 1
173 1839 1
173 1899 1
176 176 3
177 177 1
179 38 1
179 63 1
179 65 1
179 67 1
179 75 1
179 102 1
179 108 1
179 131 1
179 179 3
179 193 1
179 194 1
179 205 1
179 213 1
179 266 1
179 269 1
179 279 1
179 296 1
179 301 1
179 303 1
179 340 1
179 348 1
179 395 1
179 407 1
179 412 1
179 420 1
179 431 1
179 436 1
179 439 1
179 441 1
179 519 1
179 618 1
179 657 1
179 757 1
179 785 1
179 811 1
179 822 1
179 827 1
179 828 1
179 844 1
179 856 1
179 865 1
179 877 1
179 890 1
179 891 1
179 893 1
179 920 1
179 928 1
179 930 1
179 933 1
179 989 1
179 990 1
179 991 1
179 995 1
179 1034 1
179 1040 1
179 1051 1
179 1058 1
179 1080 1
179 1088 1
179 1104 1
179 1118 1
179 1181 1
179 1185 1
179 1190 1
179 1192 2
179 1223 1
179 1252 1
179 1265 1
179 1331 1
179 1335 1
179 1342 1
179 1361 1
179 1390 1
179 1399 1
179 1439 1
179 1441 1
179 1473 1
179 1480 1
179 1504 1
179 1571 1
179 1621 1
179 1659 2
179 1677 1
179 1713 1
179 1750 1
179 1757 1
179 1783 1
179 1819 1
179 1850 1
179 1903 1
179 1918 1
179 1930 1
179 1971 1
179 1972 1
180 47 1
180 180 1
180 229 1
180 282 1
180 416 1
180 461 1
180 810 1
180 847 1
180 1033 1
180 1121 1
180 1136 1
180 1148 1
180 1349 1
180 1400 1
180 1502 1
180 1508 1
180 1719 1
180 1742 1
180 1757 1
181 55 1
181 134 1
181 181 2
181 186 1
181 191 1
181 229 1
181 250 1
181 256 1
181 309 1
181 320 1
181 426 1
181 429 1
181 452 1
181 480 1
181 503 1
181 507 1
181 521 1
181 563 1
181 631 1
181 863 1
181 910 1
181 950 1
181 956 1
181 1028 1
181 1032 1
181 1052 1
181 1064 1
181 1080 1
181 1130 1
181 1185 1
181 1186 1
181 1214 1
181 1275 1
181 1384 1
181 1510 1
181 1647 1
181 1874 1
181 1878 1
182 17 1
182 20 1
182 29 1
182 98 1
182 148 1
182 182 5
182 228 1
182 245 1
182 256 1
182 279 1
182 287 1
182 288 1
182 309 1
182 339 1
182 365 1
182 452 1
182 456 1
182 458 1
182 480 1
182 525 1
182 578 1
182 589 1
182 697 1
182 703 1
182 725 1
182 750 1
182 781 1
182 809 1
182 817 1
182 833 1
182 844 1
182 854 1
182 865 1
182 903 1
182 918 1
182 922 1
182 940 1
182 947 1
182 953 1
182 959 1
182 991 1
182 1027 1
182 1038 1
182 1051 1
182 1063 1
182 1070 1
182 1076 1
182 1078 1
182 1096 1
182 1216 1
182 1249 1
182 1272 1
182 1302 1
182 1321 1
182 1322 1
182 1375 1
182 1389 1
182 1408 1
182 1428 1
182 1439 1
182 1441 1
182 1473 1
182 1474 1
182 1511 1
182 1536 1
182 1720 1
182 1750 1
182 1781 1
182 1826 1
182 1830 1
182 1848 1
182 1872 1
182 1930 1
186 181 1
186 186 1
186 229 1
186 250 1
186 426 1
186 429 1
186 452 1
186 480 1
186 503 1
186 863 1
186 910 1
186 956 1
186 1028 1
186 1052 1
186 1064 1
186 1275 1
186 1647 1
186 1874 1
186 1878 1
187 187 1
188 188 1
191 55 1
191 134 1
191 181 1
191 191 2
191 256 1
191 309 1
191 320 1
191 504 1
191 507 1
191 521 1
191 563 1
191 631 1
191 950 1
191 1032 1
191 1080 1
191 1130 1
191 1185 1
191 1186 1
191 1214 1
191 1331 1
191 1384 1
191 1510 1
191 1724 1
192 8 1
192 118 1
192 192 3
192 536 2
192 577 1
192 876 1
192 1074 1
192 1315 1
192 1316 1
192 1465 2
192 1489 1
192 1722 1
192 1883 1
192 1990 2
193 67 1
193 75 1
193 108 1
193 131 1
193 179 1
193 193 1
193 194 1
193 205 1
193 266 1
193 269 1
193 279 1
193 296 1
193 301 1
193 340 1
193 412 1
193 420 1
193 439 1
193 441 1
193 618 1
193 757 1
193 785 1
193 828 1
193 877 1
193 890 1
193 893 1
193 920 1
193 930 1
193 989 1
193 991 1
193 1034 1
193 1051 1
193 1058 1
193 1080 1
193 1088 1
193 1104 1
193 1181 1
193 1185 1
193 1192 1
193 1265 1
193 1335 1
193 1342 1
193 1390 1
193 1399 1
193 1473 1
193 1480 1
193 1504 1
193 1571 1
193 1621 1
193 1659 1
193 1713 1
193 1750 1
193 1819 1
193 1850 1
193 1918 1
193 1930 1
193 1971 1
194 67 1
194 75 1
194 108 1
194 131 1
194 179 1
194 193 1
194 194 3
194 205 1
194 230 1
194 266 1
194 269 1
194 279 1
194 296 1
194 301 1
194 340 1
194 379 1
194 412 1
194 420 1
194 439 1
194 441 1
194 519 1
194 618 1
194 757 1
194 785 1
194 828 1
194 831 1
194 877 1
194 890 1
194 893 1
194 920 1
194 930 1
194 989 1
194 991 1
194 1034 1
194 1051 1
194 1058 1
194 1080 1
194 1088 1
194 1104 1
194 1127 1
194 1181 1
194 1185 1
194 1192 1
194 1265 1
194 1335 1
194 1342 1
194 1390 1
194 1399 1
194 1473 1
194 1480 1
194 1504 1
194 1571 1
194 1621 1
194 1659 1
194 1713 1
194 1750 1
194 1819 1
194 1850 1
194 1918 1
194 1930 1
194 1945 1
194 1971 1
196 196 3
196 504 1
196 796 1
196 892 1
196 1620 1
196 1994 1
197 52 1
197 56 1
197 197 1
197 260 1
197 281 1
197 410 1
197 496 1
197 533 1
197 595 1
197 696 1
197 697 1
197 1423 1
197 1449 1
197 1510 1
197 1595 1
197 1611 1
205 67 1
205 75 1
205 108 1
205 131 1
205 179 1
205 193 1
205 194 1
205 205 1
205 266 1
205 269 1
205 279 1
205 296 1
205 301 1
205 340 1
205 412 1
205 420 1
205 439 1
205 441 1
205 618 1
205 757 1
205 785 1
205 828 1
205 877 1
205 890 1
205 893 1
205 920 1
205 930 1
205 989 1
205 991 1
205 1034 1
205 1051 1
205 1058 1
205 1080 1
205 1088 1
205 1104 1
205 1181 1
205 1185 1
205 1192 1
205 1265 1
205 1335 1
205 1342 1
205 1390 1
205 1399 1
205 1473 1
205 1480 1
205 1504 1
205 1571 1
205 1621 1
205 1659 1
205 1713 1
205 1750 1
205 1819 1
205 1850 1
205 1918 1
205 1930 1
205 1971 1
206 206 2
212 21 1
212 23 1
212 132 1
212 212 6
212 244 1
212 303 1
212 319 1
212 340 1
212 473 1
212 521 1
212 532 1
212 558 1
212 565 1
212 654 1
212 674 1
212 689 1
212 721 1
212 801 1
212 817 1
212 841 1
212 856 1
212 947 1
212 950 1
212 957 1
212 960 1
212 1007 1
212 1051 1
212 1074 1
212 1091 1
212 1126 1
212 1218 1
212 1219 1
212 1240 1
212 1269 1
212 1309 1
212 1316 1
212 1395 1
212 1431 1
212 1531 1
212 1533 1
212 1596 1
212 1602 1
212 1684 1
212 1698 1
212 1726 1
212 1810 1
212 1833 1
212 1944 1
212 1985 1
212 1998 1
213 38 1
213 63 1
213 65 1
213 102 1
213 179 1
213 213 2
213 220 1
213 303 1
213 348 1
213 395 1
213 407 1
213 431 1
213 436 1
213 480 1
213 519 1
213 582 1
213 621 1
213 657 1
213 748 1
213 791 1
213 811 1
213 822 1
213 827 1
213 844 1
213 856 1
213 865 1
213 891 1
213 928 1
